"watershed","order","seed"
"Upper Sacramento River",1,0
"Antelope Creek",2,4
"Battle Creek",3,439.4
"Bear Creek",4,0
"Big Chico Creek",5,0
"Butte Creek",6,8896.4
"Clear Creek",7,179.2
"Cottonwood Creek",8,0
"Cow Creek",9,0
"Deer Creek",10,574.2
"Elder Creek",11,0
"Mill Creek",12,478.6
"Paynes Creek",13,0
"Stony Creek",14,0
"Thomes Creek",15,0
"Upper-mid Sacramento River",16,0
"Sutter Bypass",17,0
"Bear River",18,0
"Feather River",19,4811.2
"Yuba River",20,641.8
"Lower-mid Sacramento River",21,0
"Yolo Bypass",22,0
"American River",23,0
"Lower Sacramento River",24,0
"Calaveras River",25,0
"Cosumnes River",26,0
"Mokelumne River",27,0
"Merced River",28,0
"Stanislaus River",29,0
"Tuolumne River",30,0
"San Joaquin River",31,0
